CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen,grade
1043212007,60.70588235294117,44658.633072916666,2408.923095703125,104321,1043212,2007,0.0,,0.0,D
1014002000,26.18437500000002,44300.2898048092,5249.65380859375,101400,1014002,2000,3.23683104e-07,9996.277472091917,0.166775935054108,C
4607005008,20.16267942583732,43441.99624327155,4834.0771484375,460700,4607005,5008,4.95658192e-07,6682.139076742388,0.505036862647915,C
3014004001,44.0,43726.30769230768,4910.115234375,301400,3014004,4001,0.0,,0.0,A
1278061011,83.94444444444446,45571.858203125004,3065.884521484375,127806,1278061,1011,0.0,,0.0,C
1278061013,67.85,44763.16071428571,3811.230712890625,127806,1278061,1013,0.0,,0.0,B
1278061013,67.85,44763.16071428571,3811.230712890625,127806,1278061,1013,0.0,,0.0,C
3102023008,54.59999999999999,44089.59099786931,4038.269287109375,310202,3102023,3008,0.0,,0.0,B
4604011046,52.315789473684205,43895.11474609376,4716.6923828125,460401,4604011,1046,0.0,,0.0,B
3102014010,75.0,44643.94891826923,3227.1923828125,310201,3102014,4010,0.0,,0.0,B
4603024002,50.172413793103466,43853.71305071722,4869.84619140625,460302,4603024,4002,0.0,,0.0,C
4610003002,47.8478260869565,43873.80190972221,4816.15380859375,461000,4610003,3002,0.0,,0.0,C
3106012018,71.29032258064512,44269.03712833736,2781.384521484375,310601,3106012,2018,0.0,,0.0,C
3008004000,40.43181818181817,43601.461391715115,5793.76904296875,300800,3008004,4000,0.0,,0.0,B
3008004000,40.43181818181817,43601.461391715115,5793.76904296875,300800,3008004,4000,0.0,,0.0,C
4611003000,41.80952380952379,43516.544704861095,5965.73095703125,461100,4611003,3000,0.0,,0.0,C
3001003006,52.45,44488.150585937496,5172.9228515625,300100,3001003,3006,0.0,,0.0,C
1317021009,54.95454545454545,46061.68292682927,3940.5,131702,1317021,1009,0.0,,0.0,C
3006021027,52.216216216216225,44013.81406249999,4810.23095703125,300602,3006021,1027,0.0,,0.0,C
1256003011,60.44000000000002,43744.645751953125,4672.65380859375,125600,1256003,3011,0.0,,0.0,A
1256003007,49.41304347826088,43649.87741268381,3813.115478515625,125600,1256003,3007,0.0,,0.0,A
1256003007,49.41304347826088,43649.87741268381,3813.115478515625,125600,1256003,3007,0.0,,0.0,B
1433022005,46.333333333333336,44093.809709821435,4191.76904296875,143302,1433022,2005,0.0,,0.0,B
1433021011,55.85714285714286,44481.28552827381,4261.26904296875,143302,1433021,1011,0.0,,0.0,B
1433021002,42.7142857142857,44118.44438244048,4035.6538085937505,143302,1433021,1002,0.0,,0.0,B
1434013012,51.94444444444443,44816.09486607143,4351.9228515625,143401,1434013,3012,0.0,,0.0,B
3018012011,82.14000000000001,44199.48755787035,2838.1923828125,301801,3018012,2011,0.0,,0.0,C
3017021004,63.63333333333335,44197.52179276316,3010.576904296875,301702,3017021,1004,0.0,,0.0,C
1810002012,66.00000000000001,44149.72486413044,3528.5,181000,1810002,2012,0.0,,0.0,
1810002012,66.00000000000001,44149.72486413044,3528.5,181000,1810002,2012,0.0,,0.0,B
1810002012,66.00000000000001,44149.72486413044,3528.5,181000,1810002,2012,0.0,,0.0,C
3021031003,74.0,44326.72265625,2645.884521484375,302103,3021031,1003,0.0,,0.0,C
3022012000,69.66666666666667,44358.96837797619,2202.384521484375,302201,3022012,2000,0.0,,0.0,C
4635001005,72.8857142857143,44512.33356584822,2546.769287109375,463500,4635001,1005,0.0,,0.0,C
4635003004,79.87499999999999,44404.54866536459,2337.6923828125,463500,4635003,3004,0.0,,0.0,C
4636022001,73.11392405063289,43994.29249131944,2249.769287109375,463602,4636022,2001,0.0,,0.0,
1432003012,46.93548387096775,44016.586956521736,4435.4228515625,143200,1432003,3012,0.0,,0.0,B
1810001001,12.578078078078086,43292.49392297469,5386.94609375,181000,1810001,1001,1.54247868e-07,9452.484016102451,0.67587254701593,A
1810001002,56.33962264150944,43157.89859068628,5433.76904296875,181000,1810001,1002,2.010127701e-06,201824.79515355156,0.005531251571378,A
4305012005,32.566326530612244,43391.84798018295,5467.980712890625,430501,4305012,2005,0.0,,0.0,B
4305012005,32.566326530612244,43391.84798018295,5467.980712890625,430501,4305012,2005,0.0,,0.0,C
3118022014,60.81249999999999,43929.42760416665,2747.8076171875,311802,3118022,2014,0.0,,0.0,C
4305013009,27.583333333333325,43028.12059507979,6236.0,430501,4305013,3009,0.0,,0.0,C
1245001001,58.722689075630235,44965.585536859,4708.26904296875,124500,1245001,1001,0.0,,0.0,B
4609004027,47.47619047619048,43558.26660156249,5931.5,460900,4609004,4027,0.0,,0.0,B
4609004027,47.47619047619048,43558.26660156249,5931.5,460900,4609004,4027,0.0,,0.0,D
3108002014,63.97826086956524,44450.34765625,4025.0,310800,3108002,2014,0.0,,0.0,B
1242042002,66.72289156626506,44652.622900390634,2742.34619140625,124204,1242042,2002,0.0,,0.0,C
4625003011,47.57692307692307,43942.60672433034,4617.0,462500,4625003,3011,0.0,,0.0,B
3007021010,45.653846153846146,43607.54038558468,5093.26904296875,300702,3007021,1010,0.0,,0.0,A
3007021010,45.653846153846146,43607.54038558468,5093.26904296875,300702,3007021,1010,0.0,,0.0,B
4621003001,51.52941176470588,43878.57924107143,5074.673095703125,462100,4621003,3001,0.0,,0.0,C
1253104002,85.4423076923077,44596.07275390622,2556.3076171875,125310,1253104,4002,0.0,,0.0,C
4609002010,62.310344827586206,43689.08832465278,4433.884765625,460900,4609002,2010,0.0,,0.0,D
1253102003,77.56249999999999,44407.15328125001,2748.5,125310,1253102,2003,0.0,,0.0,B
1253102003,77.56249999999999,44407.15328125001,2748.5,125310,1253102,2003,0.0,,0.0,C
1253105002,75.08333333333334,44742.22900390625,2277.3076171875,125310,1253105,5002,0.0,,0.0,C
1810002006,58.39999999999999,43707.70912121815,4433.615234375,181000,1810002,2006,0.0,,0.0,
1810002006,58.39999999999999,43707.70912121815,4433.615234375,181000,1810002,2006,0.0,,0.0,A
1810002006,58.39999999999999,43707.70912121815,4433.615234375,181000,1810002,2006,0.0,,0.0,B
1810002006,58.39999999999999,43707.70912121815,4433.615234375,181000,1810002,2006,0.0,,0.0,C
1810002010,45.15333333333336,43464.8500168615,5018.46142578125,181000,1810002,2010,0.0,,0.0,A
1851021010,57.355555555555554,43818.94088541667,4858.73095703125,185102,1851021,1010,0.0,,0.0,B
1873001002,55.04458598726114,43863.58392295598,3522.4422607421875,187300,1873001,1002,0.0,,0.0,B
4319001001,53.33333333333334,44564.369140625,3606.0385742187505,431900,4319001,1001,0.0,,0.0,B
4801021001,52.13888888888889,44240.680284288195,5656.884765625,480102,4801021,1001,0.0,,0.0,C
4641021014,39.68604651162791,43528.23747306033,6049.884765625,464102,4641021,1014,0.0,,0.0,A
4641021014,39.68604651162791,43528.23747306033,6049.884765625,464102,4641021,1014,0.0,,0.0,B
4804001000,49.01176470588235,43867.486328124985,5428.46142578125,480400,4804001,1000,0.0,,0.0,A
4807031007,45.220994475138106,43339.98446085165,5323.4228515625,480703,4807031,1007,0.0,,0.0,B
4807031007,45.220994475138106,43339.98446085165,5323.4228515625,480703,4807031,1007,0.0,,0.0,C
1941022002,49.34751773049646,43401.70177706864,4754.384765625,194102,1941022,2002,0.0,,0.0,A
1864032000,64.39534883720931,44607.67788799159,2647.923095703125,186403,1864032,2000,0.0,,0.0,C
4316002002,52.26630434782611,44381.18336640211,4144.134765625,431600,4316002,2002,0.0,,0.0,B
4805003005,41.63749999999999,43407.11827531645,5086.5,480500,4805003,3005,0.0,,0.0,B
1893001009,44.375000000000014,42846.96138822115,5691.1923828125,189300,1893001,1009,0.0,,0.0,A
1438011006,34.1543116490166,43678.41475941718,6094.39990234375,143801,1438011,1006,0.0,,0.0,B
3025032000,70.83999999999996,44431.223124999975,2688.3653564453125,302503,3025032,2000,0.0,,0.0,C
1436061005,73.79999999999998,44727.819627899495,3869.6538085937505,143606,1436061,1005,0.0,,0.0,C
1831012006,52.0,43714.00579202586,5106.8076171875,183101,1831012,2006,0.0,,0.0,C
9800091042,40.68181818181817,43269.70330810547,6401.0771484375,980009,9800091,1042,1.53877271e-06,716557.4564863599,0.000307822540306,A
1897041013,54.111111111111114,44125.06640625,5132.9228515625,189704,1897041,1013,0.0,,0.0,A
4640003010,66.26666666666668,44234.487862723225,3373.423095703125,464000,4640003,3010,0.0,,0.0,C
4640003010,66.26666666666668,44234.487862723225,3373.423095703125,464000,4640003,3010,0.0,,0.0,D
4640005020,80.28947368421055,43860.98694490132,4215.615234375,464000,4640005,5020,0.0,,0.0,
4639002005,55.64705882352941,43628.52067057292,5154.115234375,463900,4639002,2005,0.0,,0.0,
4639002005,55.64705882352941,43628.52067057292,5154.115234375,463900,4639002,2005,0.0,,0.0,C
4317011002,50.38775510204084,44511.23094781838,4025.769287109375,431701,4317011,1002,0.0,,0.0,B
4640003008,48.19230769230769,43784.111328124985,4692.4228515625,464000,4640003,3008,0.0,,0.0,C
4043011007,58.0,45007.31501116072,3091.230712890625,404301,4043011,1007,0.0,,0.0,D
4044011016,62.642857142857146,44832.6484375,3405.423095703125,404401,4044011,1016,0.0,,0.0,D
1832223003,50.33333333333335,44029.669491525405,4485.46142578125,183222,1832223,3003,0.0,,0.0,C
4317011000,57.000000000000014,44642.095079787236,4603.25,431701,4317011,1000,0.0,,0.0,B
4317011000,57.000000000000014,44642.095079787236,4603.25,431701,4317011,1000,0.0,,0.0,C
4317015000,60.98290598290593,44520.05087280274,3250.53857421875,431701,4317015,5000,0.0,,0.0,B
4317015000,60.98290598290593,44520.05087280274,3250.53857421875,431701,4317015,5000,0.0,,0.0,C
4640002012,35.65116279069767,43166.426235465115,5929.9228515625,464000,4640002,2012,0.0,,0.0,B
1834022012,64.58333333333334,44207.72230113636,3859.3461914062495,183402,1834022,2012,0.0,,0.0,C
2141004000,62.56666666666667,43626.59722222222,3533.34619140625,214100,2141004,4000,0.0,,0.0,B
2141004000,62.56666666666667,43626.59722222222,3533.34619140625,214100,2141004,4000,0.0,,0.0,C
2140004004,81.56666666666669,43970.716145833336,3054.884521484375,214000,2140004,4004,0.0,,0.0,C
2140003005,66.89999999999999,43824.16677517361,3143.84619140625,214000,2140003,3005,0.0,,0.0,B
